lat,lon,name
55.8932,37.4981,wz_6741
55.9081,37.4751,wz_6741
55.9182,37.4882,wz_6741
55.9291,37.4901,wz_6741
55.944,37.4794,wz_6741
55.9534,37.4816,wz_6741
55.9593,37.4905,wz_6741
55.9635,37.51,wz_6741
55.9664,37.5214,wz_6741
55.9712,37.5294,wz_6741
55.9822,37.5417,wz_6741
55.9911,37.5779,wz_6741
55.9858,37.6077,wz_6741
55.9833,37.6381,wz_6741
55.9536,37.6218,wz_6741
55.9357,37.6273,wz_6741
55.9275,37.6301,wz_6741
55.9061,37.6399,wz_6741
55.898,37.6388,wz_6741
55.9007,37.6236,wz_6741
55.91,37.5884,wz_6741
55.911,37.5789,wz_6741
55.9089,37.5538,wz_6741
55.9075,37.54,wz_6741
55.9051,37.526,wz_6741
55.8932,37.4981,wz_6741
55.8978,37.6388,wz_7748
55.8952,37.6732,wz_7748
55.8949,37.6854,wz_7748
55.8945,37.6957,wz_7748
55.8929,37.7037,wz_7748
55.8855,37.7194,wz_7748
55.876,37.7385,wz_7748
55.8691,37.752,wz_7748
55.862,37.7657,wz_7748
55.8472,37.7943,wz_7748
55.8432,37.8023,wz_7748
55.8276,37.8321,wz_7748
55.822,37.8373,wz_7748
55.8086,37.8397,wz_7748
55.7761,37.8427,wz_7748
55.7662,37.8431,wz_7748
55.7489,37.8423,wz_7748
55.714,37.8385,wz_7748
55.7095,37.836,wz_7748
55.699,37.8304,wz_7748
55.693,37.8291,wz_7748
55.671,37.8365,wz_7748
55.6628,37.8396,wz_7748
55.6569,37.8394,wz_7748
55.6507,37.835,wz_7748
55.6232,37.793,wz_7748
55.6016,37.7536,wz_7748
55.5895,37.7248,wz_7748
55.5722,37.6771,wz_7748
55.5717,37.6644,wz_7748
55.5747,37.6132,wz_7748
55.5754,37.5944,wz_7748
55.5962,37.5104,wz_7748
55.6387,37.4591,wz_7748
55.6624,37.4314,wz_7748
55.6927,37.4112,wz_7748
55.7142,37.3845,wz_7748
55.7457,37.3693,wz_7748
55.7897,37.3714,wz_7748
55.8052,37.3872,wz_7748
55.8372,37.3968,wz_7748
55.8468,37.3914,wz_7748
55.8649,37.4016,wz_7748
55.8717,37.4122,wz_7748
55.8816,37.4467,wz_7748
55.8848,37.4737,wz_7748
55.8921,37.497,wz_7748
55.9061,37.5286,wz_7748
55.9113,37.5794,wz_7748
55.8978,37.6388,wz_7748
